epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,1947.44,0.37353,0.82907,0.49476,0.30147,0.9267,1,1,0.995,0.90533,1,1,0.995,0.56575,0.41128,1.07904,0.4891,0.42646,0.95426,0.001076,0.001076,0.001076
30,1979.86,0.3281,0.52875,0.49209,0.27313,0.92028,1,1,0.995,0.8955,1,1,0.995,0.61994,0.47375,1.17795,0.42439,0.62801,0.99103,0.001043,0.001043,0.001043
31,2011.4,0.32027,0.47366,0.47431,0.27109,0.90247,0.99539,1,0.995,0.9312,0.99539,1,0.995,0.67433,0.37146,0.99244,0.38968,0.43169,0.9197,0.00101,0.00101,0.00101
32,2054.91,0.32959,0.44253,0.47395,0.28799,0.92285,0.99535,1,0.995,0.94415,0.99535,1,0.995,0.6028,0.31538,1.13059,0.35109,0.49427,0.89543,0.000977,0.000977,0.000977
33,2088.63,0.31165,0.46648,0.47951,0.27822,0.89498,0.99537,1,0.995,0.93517,0.99537,1,0.995,0.533,0.33661,1.26542,0.33031,0.45892,0.93461,0.000944,0.000944,0.000944
34,2133.79,0.34799,0.46846,0.46205,0.30226,0.9313,0.99539,1,0.995,0.9591,0.99539,1,0.995,0.7259,0.27466,0.8423,0.35974,0.37201,0.87483,0.000911,0.000911,0.000911
35,2160.3,0.31725,0.54595,0.46015,0.27706,0.91267,0.99524,1,0.995,0.995,0.99524,1,0.995,0.78917,0.29269,0.79229,0.38282,0.30824,0.88444,0.000878,0.000878,0.000878
36,2190.77,0.31261,0.42511,0.42788,0.27521,0.89753,0.99525,1,0.995,0.9505,0.99525,1,0.995,0.72536,0.27687,0.78688,0.37896,0.2766,0.86566,0.000845,0.000845,0.000845
37,2219.67,0.32796,0.40376,0.4295,0.28243,0.92107,0.99505,1,0.995,0.978,0.99505,1,0.995,0.80575,0.2957,0.59754,0.37892,0.27819,0.88468,0.000812,0.000812,0.000812
38,2246.81,0.33981,0.52905,0.43173,0.27626,0.9028,0.99496,1,0.995,0.94824,0.99496,1,0.995,0.8755,0.31625,0.40365,0.37341,0.25635,0.89223,0.000779,0.000779,0.000779
39,2277.46,0.33834,0.47853,0.44361,0.28206,0.93095,0.995,1,0.995,0.96944,0.995,1,0.995,0.955,0.25161,0.225,0.37379,0.20057,0.85134,0.000746,0.000746,0.000746
40,2310.25,0.28549,0.36003,0.42506,0.25039,0.90413,0.99511,1,0.995,0.985,0.99511,1,0.995,0.984,0.21897,0.20096,0.39957,0.19321,0.83911,0.000713,0.000713,0.000713
41,2333.48,0.3252,0.4288,0.42535,0.2566,0.92427,0.9952,1,0.995,0.984,0.9952,1,0.995,0.985,0.22508,0.20112,0.39479,0.21537,0.83983,0.00068,0.00068,0.00068
42,2359.15,0.29542,0.34211,0.42533,0.26364,0.92013,0.99527,1,0.995,0.96617,0.99527,1,0.995,0.978,0.24273,0.21564,0.38042,0.21664,0.84134,0.000647,0.000647,0.000647
43,2390.23,0.29083,0.32919,0.43578,0.25071,0.91586,0.99537,1,0.995,0.97605,0.99537,1,0.995,0.964,0.22152,0.20955,0.38103,0.22304,0.83221,0.000614,0.000614,0.000614
44,2424.89,0.27091,0.29805,0.4266,0.25753,0.91084,0.99534,1,0.995,0.995,0.99534,1,0.995,0.995,0.19189,0.18659,0.38229,0.20936,0.81782,0.000581,0.000581,0.000581
45,2456.9,0.29005,0.39199,0.4193,0.26715,0.89834,0.99533,1,0.995,0.985,0.99533,1,0.995,0.995,0.19866,0.20123,0.38002,0.22357,0.82154,0.000548,0.000548,0.000548
46,2488.95,0.25963,0.26595,0.41197,0.23192,0.89641,0.99535,1,0.995,0.995,0.99535,1,0.995,0.96375,0.23261,0.26353,0.34977,0.22799,0.83507,0.000515,0.000515,0.000515
47,2517.24,0.27119,0.34659,0.44048,0.24454,0.90359,0.99531,1,0.995,0.982,0.99531,1,0.995,0.92183,0.27273,0.3016,0.32169,0.19995,0.85459,0.000482,0.000482,0.000482
48,2554.75,0.28617,0.31279,0.43306,0.2535,0.91747,0.99526,1,0.995,0.985,0.99526,1,0.995,0.93833,0.27368,0.26646,0.31877,0.17806,0.85206,0.000449,0.000449,0.000449
49,2585.71,0.2724,0.26894,0.41671,0.24696,0.90506,0.99521,1,0.995,0.995,0.99521,1,0.995,0.962,0.23539,0.17818,0.32628,0.17397,0.84031,0.000416,0.000416,0.000416
50,2619.76,0.26006,0.33504,0.42198,0.26689,0.91968,0.99521,1,0.995,0.985,0.99521,1,0.995,0.995,0.21369,0.1174,0.33728,0.18425,0.83748,0.000383,0.000383,0.000383
51,2648.24,0.28369,0.18891,0.47512,0.35768,0.90663,1,1,0.995,0.982,1,1,0.995,0.995,0.25543,0.11774,0.34182,0.20982,0.85962,0.00035,0.00035,0.00035
52,2685.82,0.25833,0.17182,0.43578,0.24229,0.92202,1,1,0.995,0.96233,1,1,0.995,0.995,0.26544,0.12801,0.32947,0.23718,0.87421,0.000317,0.000317,0.000317
53,2712.33,0.23115,0.19965,0.42203,0.21125,0.82598,0.99505,1,0.995,0.9575,0.99505,1,0.995,0.995,0.26657,0.14086,0.30638,0.24316,0.86691,0.000284,0.000284,0.000284
54,2745.96,0.23405,0.17637,0.38882,0.21585,0.86192,0.99501,1,0.995,0.975,0.99501,1,0.995,0.995,0.26174,0.14033,0.29602,0.2534,0.85476,0.000251,0.000251,0.000251
55,2774.79,0.22123,0.17134,0.36372,0.22045,0.85751,0.99502,1,0.995,0.995,0.99502,1,0.995,0.995,0.23501,0.12184,0.29857,0.21384,0.83612,0.000218,0.000218,0.000218
56,2802.01,0.20719,0.14002,0.377,0.20461,0.85389,0.995,1,0.995,0.995,0.995,1,0.995,0.995,0.21846,0.09946,0.30202,0.18619,0.82951,0.000185,0.000185,0.000185
57,2838.08,0.23858,0.1473,0.36727,0.20572,0.91256,0.99512,1,0.995,0.995,0.99512,1,0.995,0.995,0.21564,0.09747,0.29959,0.172,0.83361,0.000152,0.000152,0.000152
58,2865.62,0.21897,0.14942,0.36018,0.20219,0.87173,0.99507,1,0.995,0.995,0.99507,1,0.995,0.995,0.21405,0.09493,0.29826,0.14232,0.83544,0.000119,0.000119,0.000119
59,2887.67,0.19451,0.12863,0.33762,0.18971,0.88706,0.99515,1,0.995,0.983,0.99515,1,0.995,0.995,0.21647,0.09103,0.29283,0.13767,0.83674,8.6e-05,8.6e-05,8.6e-05
