epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,3370.9,0.47517,0.27117,0.12291,0.41216,0.89042,0.94816,0.95429,0.98538,0.92465,0.94484,0.97878,0.98908,0.97623,0.37549,0.14809,0.02852,0.34147,0.83814,0.001142,0.001142,0.001142
28,3440.29,0.4919,0.29288,0.12114,0.42497,0.90561,0.95345,0.95429,0.98477,0.91496,0.95345,0.95429,0.98513,0.97538,0.38945,0.14092,0.02357,0.34072,0.82893,0.001109,0.001109,0.001109
29,3517.11,0.46711,0.27695,0.11976,0.4065,0.89307,0.95299,0.95429,0.98593,0.91808,0.95516,0.97375,0.98923,0.97666,0.35701,0.1387,0.02833,0.3345,0.82552,0.001076,0.001076,0.001076
30,3586.72,0.47423,0.25749,0.11867,0.39056,0.89736,0.95354,0.95429,0.98386,0.91366,0.95526,0.97609,0.98994,0.97452,0.38747,0.13746,0.04374,0.34664,0.84285,0.001043,0.001043,0.001043
31,3657.95,0.46014,0.27475,0.11645,0.40734,0.89484,0.95339,0.95429,0.98487,0.91279,0.9591,0.96,0.9893,0.97583,0.40261,0.12623,0.02962,0.33851,0.83135,0.00101,0.00101,0.00101
32,3727.74,0.45759,0.26651,0.11898,0.40959,0.89312,0.93919,0.97143,0.98837,0.93212,0.95299,0.98286,0.98959,0.97768,0.35743,0.13253,0.02627,0.32152,0.82317,0.000977,0.000977,0.000977
33,3794.7,0.46896,0.28673,0.11193,0.40294,0.89506,0.95399,0.95429,0.98785,0.92576,0.94422,0.97143,0.98973,0.98129,0.36286,0.11266,0.02643,0.31976,0.8203,0.000944,0.000944,0.000944
34,3863.62,0.45403,0.25274,0.11581,0.38889,0.88256,0.94318,0.96571,0.98875,0.91401,0.95931,0.98286,0.99113,0.97792,0.36563,0.12714,0.02912,0.32353,0.82167,0.000911,0.000911,0.000911
35,3933.33,0.44191,0.24542,0.11151,0.38911,0.882,0.97562,0.94286,0.98451,0.9255,0.95402,0.96,0.98846,0.97626,0.35531,0.12224,0.03985,0.31154,0.82267,0.000878,0.000878,0.000878
36,4001.27,0.42103,0.2278,0.10376,0.36862,0.8701,0.9425,0.96571,0.98373,0.92527,0.95521,0.98286,0.98928,0.97552,0.36581,0.11707,0.0175,0.32226,0.82657,0.000845,0.000845,0.000845
37,4073.29,0.44342,0.22603,0.11027,0.37788,0.89004,0.94786,0.96571,0.98215,0.92407,0.9606,0.98286,0.98924,0.9748,0.36627,0.13377,0.01726,0.32107,0.82696,0.000812,0.000812,0.000812
38,4145.86,0.41776,0.22949,0.10423,0.35853,0.87296,0.95453,0.95972,0.98431,0.92044,0.95755,0.98286,0.98942,0.97642,0.36039,0.11679,0.01576,0.30892,0.84119,0.000779,0.000779,0.000779
39,4218.97,0.43397,0.2169,0.09962,0.3779,0.88698,0.95462,0.96161,0.98631,0.93306,0.95851,0.97714,0.9894,0.97841,0.34301,0.10658,0.01484,0.30775,0.81388,0.000746,0.000746,0.000746
40,4293.52,0.40585,0.21519,0.09544,0.36894,0.87328,0.97164,0.94857,0.98524,0.93509,0.95851,0.98286,0.99067,0.97955,0.32941,0.10511,0.02531,0.2982,0.81363,0.000713,0.000713,0.000713
41,4378.06,0.401,0.20708,0.10262,0.33081,0.87422,0.95427,0.95385,0.987,0.94019,0.95999,0.98286,0.98999,0.97813,0.3228,0.10546,0.02123,0.3056,0.8109,0.00068,0.00068,0.00068
42,4452.78,0.42742,0.21568,0.10113,0.35855,0.88406,0.95454,0.95981,0.98537,0.93551,0.95937,0.98286,0.99095,0.97756,0.33265,0.12811,0.02322,0.29171,0.8117,0.000647,0.000647,0.000647
